sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0
1,1,0,1,0,0,0,0
1,1,0,1,0,0,1,0
1,1,0,2,0,0,1,0
2,1,1,2,1,0,3,1
2,1,1,2,1,0,4,3
2,1,1,2,1,0,5,5
2,1,2,3,1,0,5,5
2,1,3,4,1,1,6,6
2,1,3,4,1,1,7,6
2,2,3,4,3,1,8,6
2,2,3,4,3,1,9,8
2,2,3,5,4,2,12,8
2,2,5,7,4,2,13,10
2,2,6,8,5,2,13,12
2,3,6,8,5,2,15,12
3,3,6,8,6,3,15,13
3,3,7,11,6,3,16,14
3,4,8,11,6,3,17,15
4,4,10,14,7,3,17,16
5,5,11,14,8,3,18,17
6,5,12,17,9,4,19,18
8,5,12,18,9,4,21,18
9,5,12,19,10,4,23,19
11,5,14,20,10,4,23,21
11,5,15,22,10,4,23,21
11,5,17,22,13,4,23,23
11,7,18,25,14,5,23,24
11,7,19,25,14,5,24,26
13,8,19,25,14,5,25,26
16,9,20,28,15,5,27,27
16,10,21,28,15,5,29,28
18,10,21,29,15,5,31,28
19,10,21,30,17,5,34,28
20,11,23,30,17,5,35,30
20,12,23,34,17,5,39,31
21,12,24,34,17,5,39,34
22,12,25,35,18,5,39,36
22,12,25,35,21,6,40,36
26,12,25,35,23,8,40,37
28,12,26,36,23,9,42,40
29,12,26,36,26,11,42,43
31,12,27,36,26,12,42,44
31,12,29,36,26,12,42,46
34,13,32,36,27,13,42,50
35,13,32,37,28,13,42,50
37,13,34,37,29,13,44,51
38,13,35,38,31,13,47,51
38,13,36,38,31,13,48,54
38,13,36,39,31,13,48,54
38,13,36,40,31,14,48,54
38,14,36,40,31,14,48,54
38,16,38,42,31,14,51,57
38,16,39,42,31,14,55,59
41,16,39,42,31,15,55,59
42,16,41,42,31,15,55,60
44,16,42,42,33,16,55,61
44,16,42,42,33,16,55,62
44,16,42,42,33,17,55,62
44,16,44,42,33,17,55,64
44,16,44,42,33,17,55,65
44,16,44,42,33,17,55,65
44,16,45,42,36,18,55,66
44,16,47,42,36,18,55,67
44,16,47,42,38,19,55,68
44,16,48,42,39,19,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
44,16,48,42,41,20,55,69
